namahotel,bintang,deskripsi,facility,nearbyattraction
Villa Padi Yogyakarta,3,"Villa Padi Cangkringan provides an interesting panorama with the cool air of the Kaliurang area, private-living, as well as a rural atmosphere with a beautiful panorama of Mount Merapi clad in the green area of ??rice fields that will impress you. The villa is designed with a minimalist concept and surrounded by a charming tropical garden. Eco-living is also be a part of our design, the entire irrigation system at the villa using the water from the mountains. Spend your holiday here, with an affordable budget you can enjoy luxury facilities like a five-star hotel. 
We have 2 villas with 4 rooms and 1 villa with 2 rooms, total 10 rooms. Each villa also provides living room and a kitchen with refrigerator, dispenser, and a kitchenette set with direct view to the swimming pool. The 10 bedrooms are equipped with air conditioning and flat TV with international channels. 
 Enjoy the beauty that Villa Padi presents with its tropical garden complete with swimming pool, gazebo with fireplace, and fish pond. The view spot is located behind the villa which the perfect place to chat with family or relatives. At the view spot you can get magnificent and beautiful view of volcano, river, rice field, and garden view.","Villa Padi Cangkringan provides an interesting panorama with the cool air of the Kaliurang area, private-living, as well as a rural atmosphere with a beautiful panorama of Mount Merapi clad in the green area of ??rice fields that will impress you. The villa is designed with a minimalist concept and surrounded by a charming tropical garden. Eco-living is also be a part of our design, the entire irrigation system at the villa using the water from the mountains. Spend your holiday here, with an affordable budget you can enjoy luxury facilities like a five-star hotel. 
We have 2 villas with 4 rooms and 1 villa with 2 rooms, total 10 rooms. Each villa also provides living room and a kitchen with refrigerator, dispenser, and a kitchenette set with direct view to the swimming pool. The 10 bedrooms are equipped with air conditioning and flat TV with international channels. 
 Enjoy the beauty that Villa Padi presents with its tropical garden complete with swimming pool, gazebo with fireplace, and fish pond. The view spot is located behind the villa which the perfect place to chat with family or relatives. At the view spot you can get magnificent and beautiful view of volcano, river, rice field, and garden view.",none
Villa Pakem,4,"This property located near Islamic University of Indonesia. Along with an outdoor pool, this smoke-free vacation home has a rooftop terrace and coffee/tea in a common area. Free WiFi in public areas, free self parking, and free train station pick-up are also provided. Additionally, dry cleaning, laundry facilities, and express check-in are onsite. The vacation home features a kitchenette with a refrigerator, plus free WiFi and an LCD TV with cable channels. Additional amenities include a balcony, free bottled water, and a hair dryer. 
Take advantage of recreation opportunities such as an outdoor pool or take in the view from a rooftop terrace and a garden. This vacation home also features complimentary wireless Internet access, wedding services, and a picnic area. Getting to nearby attractions is a breeze with the area shuttle (surcharge) that operates within 17 km.
Featured amenities include express check-in, express check-out, and complimentary newspapers in the lobby. A train station pick-up service is provided at no charge (available 24 hours), and free self parking is available onsite.
 
Special Check-in Instructions
24-hour airport shuttle service is available. Fees may apply. Contact the property in advance to make arrangements.
Make yourself comfortable in this air-conditioned vacation home, which has a kitchenette. There's a private balcony. A 20-inch LCD television with cable programming provides entertainment, while complimentary wireless Internet access keeps you connected. Conveniences include a desk and a refrigerator.
A complimentary breakfast is included.
 Nearby Attractions
 Islamic University of Indonesia 2.6 km / 1.6 mi Merapi Golf Course 8.7 km / 5.4 mi Ullen Sentalu Museum 9.8 km / 6.1 mi Jogja Bay 10.9 km / 6.8 mi Bubrah Temple 11.4 km / 7.1 mi Sleman City Hall11.5 km / 7.1 mi Maguwoharjo Stadium 11.7 km / 7.3 mi Merapi Museum 12.2 km / 7.6 mi Hartono Mall 12.5 km / 7.8 mi Gadjah Mada University 13.5 km / 8.4 mi Jogja City Mall 13.8 km / 8.6 mi Yogyakarta State University 14.1 km / 8.8 mi Yogya Kembali Monument 14.2 km / 8.8 mi Sambisari Temple 14.2 km / 8.8 mi Yogyakarta Monument 15.4 km / 9.6 mi The nearest airports are:
Yogyakarta (JOG-Adisucipto Intl.) - 16.1 km / 10 mi
 Surakarta (SOC-Adisumarmo Intl.) - 62.7 km / 39 mi
 The preferred airport for this vacation home is Yogyakarta (JOG-Adisucipto Intl.).","This property located near Islamic University of Indonesia. Along with an outdoor pool, this smoke-free vacation home has a rooftop terrace and coffee/tea in a common area. Free WiFi in public areas, free self parking, and free train station pick-up are also provided. Additionally, dry cleaning, laundry facilities, and express check-in are onsite. The vacation home features a kitchenette with a refrigerator, plus free WiFi and an LCD TV with cable channels. Additional amenities include a balcony, free bottled water, and a hair dryer. 
Take advantage of recreation opportunities such as an outdoor pool or take in the view from a rooftop terrace and a garden. This vacation home also features complimentary wireless Internet access, wedding services, and a picnic area. Getting to   is a breeze with the area shuttle (surcharge) that operates within 17 km.
Featured amenities include express check-in, express check-out, and complimentary newspapers in the lobby. A train station pick-up service is provided at no charge (available 24 hours), and free self parking is available onsite.
 
Special Check-in Instructions
24-hour airport shuttle service is available. Fees may apply. Contact the property in advance to make arrangements.
Make yourself comfortable in this air-conditioned vacation home, which has a kitchenette. There's a private balcony. A 20-inch LCD television with cable programming provides entertainment, while complimentary wireless Internet access keeps you connected. Conveniences include a desk and a refrigerator.
A complimentary breakfast is included.
  
", Islamic University of Indonesia 2.6 km / 1.6 mi Merapi Golf Course 8.7 km / 5.4 mi Ullen Sentalu Museum 9.8 km / 6.1 mi Jogja Bay 10.9 km / 6.8 mi Bubrah Temple 11.4 km / 7.1 mi Sleman City Hall11.5 km / 7.1 mi Maguwoharjo Stadium 11.7 km / 7.3 mi Merapi Museum 12.2 km / 7.6 mi Hartono Mall 12.5 km / 7.8 mi Gadjah Mada University 13.5 km / 8.4 mi Jogja City Mall 13.8 km / 8.6 mi Yogyakarta State University 14.1 km / 8.8 mi Yogya Kembali Monument 14.2 km / 8.8 mi Sambisari Temple 14.2 km / 8.8 mi Yogyakarta Monument 15.4 km / 9.6 mi The nearest airports are: Yogyakarta (JOG-Adisucipto Intl.) - 16.1 km / 10 mi Surakarta (SOC-Adisumarmo Intl.) - 62.7 km / 39 mi The preferred airport for this vacation home is Yogyakarta (JOG-Adisucipto Intl.).
Villa Pondok Terra,4,"Villa Pondok Terra are constructed using local materials and typical Indonesian architectural designs, offers combination of a central location and a traditional Java style. Located in Prawirotaman, Villa Pondok Terra is a perfect starting point to explore Yogyakarta. Just a short drive from many restaurants, supermarkets, and art galleries. 
We have a number of types of villa like Diamond, Gold, Silver (Ruby), and Silver (Pearl). All of those villas are beautiful, spacious, luxurious, and peaceful. These villas feature beautiful tiled flooring and wooden door frames which open out to a private garden, swimming pool and sun loungers. All villas have a full kitchen, a flat-screen TV and DVD player. Bathrooms have either a bathtub or double shower facilities.
From here you can go sightseeing to many amazing attractions nearby such as Borobudur Temple, Sultan Palace & Water Castle, Bird Market, Malioboro, and Prambanan Temple, we have optional tours and rental. We also provides airport transfer and private pool with a traditional Javanese ambiance, it's a perfect spot for you to relax.","Villa Pondok Terra are constructed using local materials and typical Indonesian architectural designs, offers combination of a central location and a traditional Java style. Located in Prawirotaman, Villa Pondok Terra is a perfect starting point to explore Yogyakarta. Just a short drive from many restaurants, supermarkets, and art galleries. 
We have a number of types of villa like Diamond, Gold, Silver (Ruby), and Silver (Pearl). All of those villas are beautiful, spacious, luxurious, and peaceful. These villas feature beautiful tiled flooring and wooden door frames which open out to a private garden, swimming pool and sun loungers. All villas have a full kitchen, a flat-screen TV and DVD player. Bathrooms have either a bathtub or double shower facilities.
From here you can go sightseeing to many amazing attractions nearby such as Borobudur Temple, Sultan Palace & Water Castle, Bird Market, Malioboro, and Prambanan Temple, we have optional tours and rental. We also provides airport transfer and private pool with a traditional Javanese ambiance, it's a perfect spot for you to relax.",none
Viure Cafe and Guesthouse,3,"This property located near Hartono Mall. Free breakfast and free WiFi in public areas are available at this bed & breakfast. All 26 rooms provide free WiFi, electric kettles, and flat-screen TVs. Free bottled water, showers, and desks are among the other amenities that guests will find. 
This bed & breakfast offers designated smoking areas.
There is no front desk at this property. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation.
Make yourself at home in one of the 26 air-conditioned rooms featuring flat-screen televisions. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided. Conveniences include desks and electric kettles, and housekeeping is provided daily.
A complimentary breakfast is included.
 Nearby Attractions
 Hartono Mall 1.7 km / 1 mi Plaza Ambarrukmo 2.6 km / 1.6 mi Affandi Museum 3 km / 1.9 mi Sunan Kalijaga State Islamic University Yogyakarta 3.2 km / 2 mi Yogyakarta State University 3.5 km / 2.2 mi TransMart Studio Mini 3.6 km / 2.2 mi Lippo Plaza Jogja 3.6 km / 2.3 mi Maguwoharjo Stadium 3.8 km / 2.4 mi Siloam Hospital Yogyakarta 3.8 km / 2.4 mi Jogja Bay 4.1 km / 2.5 mi Museum Dirgantara 4.1 km / 2.5 mi Gadjah Mada University 4.1 km / 2.6 mi Jogja Expo Center 4.7 km / 2.9 mi Galeria Mall 4.8 km / 3 mi Sasana Among Rogo 5.9 km / 3.6 mi The nearest airports are:
Yogyakarta (JOG-Adisucipto Intl.) - 6 km / 3.7 mi
 Surakarta (SOC-Adisumarmo Intl.) - 58.1 km / 36.1 mi","This property located near Hartono Mall. Free breakfast and free WiFi in public areas are available at this bed & breakfast. All 26 rooms provide free WiFi, electric kettles, and flat-screen TVs. Free bottled water, showers, and desks are among the other amenities that guests will find. 
This bed & breakfast offers designated smoking areas.
There is no front desk at this property. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation.
Make yourself at home in one of the 26 air-conditioned rooms featuring flat-screen televisions. Complimentary wireless Internet access is available to keep you connected. Bathrooms with showers are provided. Conveniences include desks and electric kettles, and housekeeping is provided daily.
A complimentary breakfast is included.
  
", Hartono Mall 1.7 km / 1 mi Plaza Ambarrukmo 2.6 km / 1.6 mi Affandi Museum 3 km / 1.9 mi Sunan Kalijaga State Islamic University Yogyakarta 3.2 km / 2 mi Yogyakarta State University 3.5 km / 2.2 mi TransMart Studio Mini 3.6 km / 2.2 mi Lippo Plaza Jogja 3.6 km / 2.3 mi Maguwoharjo Stadium 3.8 km / 2.4 mi Siloam Hospital Yogyakarta 3.8 km / 2.4 mi Jogja Bay 4.1 km / 2.5 mi Museum Dirgantara 4.1 km / 2.5 mi Gadjah Mada University 4.1 km / 2.6 mi Jogja Expo Center 4.7 km / 2.9 mi Galeria Mall 4.8 km / 3 mi Sasana Among Rogo 5.9 km / 3.6 mi The nearest airports are: Yogyakarta (JOG-Adisucipto Intl.) - 6 km / 3.7 mi Surakarta (SOC-Adisumarmo Intl.) - 58.1 km / 36.1 mi
Wakeup Homestay,1,"Wake Up Homestay is a home away from home for backpackers and independent travellers, right in the heart of Yogyakarta. You will find us in Malioboro, perfectly placed for the best sights and sounds of the city. Featuring terrace at the rooftop, the others facilities are provided at the property including a shared lounge, daily housekeeping, express check-in/check-out, Wi-Fi in public areas, car park. Come and feel many things that will give you an unforgettable moment of journey. If you're looking for charming cultures, local cuisine, history site visit, and well-designed rooms with really great beds when you do need a break, you can get all of those experience with us. 
 We have several types of room like Double Pod, Female Single Pod, Single Pod which enough for 4 persons and Single Pod (Dormitory) which enough for 10 persons. Guestrooms at Wakeup Homestay are fitted with all the amenities you need. At the rooms you will find Personal reading lights, electricity sockets, pillows, locker, hanger, towel hanger, towel, Wi-Fi, and air conditioning. 
Indonesian breakfast will be served in the breakfast room and guests may find plenty of eateries within 5 minutes walk from the property.","Wake Up Homestay is a home away from home for backpackers and independent travellers, right in the heart of Yogyakarta. You will find us in Malioboro, perfectly placed for the best sights and sounds of the city. Featuring terrace at the rooftop, the others facilities are provided at the property including a shared lounge, daily housekeeping, express check-in/check-out, Wi-Fi in public areas, car park. Come and feel many things that will give you an unforgettable moment of journey. If you're looking for charming cultures, local cuisine, history site visit, and well-designed rooms with really great beds when you do need a break, you can get all of those experience with us. 
 We have several types of room like Double Pod, Female Single Pod, Single Pod which enough for 4 persons and Single Pod (Dormitory) which enough for 10 persons. Guestrooms at Wakeup Homestay are fitted with all the amenities you need. At the rooms you will find Personal reading lights, electricity sockets, pillows, locker, hanger, towel hanger, towel, Wi-Fi, and air conditioning. 
Indonesian breakfast will be served in the breakfast room and guests may find plenty of eateries within 5 minutes walk from the property.",none
Watu Agung Guest House,2,"This property located near Borobudur Temple. A restaurant, 24-hour room service, and a 24-hour front desk are available at this bed & breakfast. Free WiFi in public areas and free self parking are also provided. Other amenities include tour/ticket assistance. All 3 rooms offer free WiFi, 24-hour room service, and LED TVs with satellite channels. Other amenities available to guests include electric kettles, free bottled water, and showers. 
Make use of convenient amenities, which include complimentary wireless Internet access and tour/ticket assistance. Getting to nearby attractions is a breeze with the area shuttle (surcharge).
Featured amenities include a 24-hour front desk and luggage storage. A roundtrip airport shuttle is provided for a surcharge (available 24 hours), and free self parking is available onsite.
24-hour airport shuttle service is available. Fees may apply. Contact the property in advance to make arrangements.
Make yourself at home in one of the 3 air-conditioned rooms featuring LED televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms have showers and complimentary toiletries. Conveniences include desks and electric kettles, and housekeeping is provided daily.
Enjoy a meal at the restaurant, or stay in and take advantage of the bed & breakfast's 24-hour room service. Breakfast is available daily from 7 AM to 10 AM for a fee.
 Nearby Attractions
 Borobudur Temple 1 km / 0.6 mi Samudraraksa Museum 1.1 km / 0.7 mi Candi Pawon 1.2 km / 0.8 mi Mendut Buddhist Monastery 3.1 km / 2 mi Candi Mendut 3.2 km / 2 mi Punthuk Setumbu 4.7 km / 3 mi Suroloyo Peak 10.9 km / 6.8 mi Hok An Kiong 11.7 km / 7.3 mi Borobudur Golf Country Club 16.4 km / 10.2 mi Diponegoro Museum 17.9 km / 11.1 mi Kyai Langgeng Flower Garden 18.5 km / 11.5 mi Sleman City Hall 29.8 km / 18.5 mi Mount Merapi 31.9 km / 19.8 mi Yogya Kembali Monument 33.8 km / 21 mi Jogja City Mall 34.3 km / 21.3 mi The nearest major airport is Yogyakarta (JOG-Adisucipto Intl.) - 44.4 km / 27.6 mi","This property located near Borobudur Temple. A restaurant, 24-hour room service, and a 24-hour front desk are available at this bed & breakfast. Free WiFi in public areas and free self parking are also provided. Other amenities include tour/ticket assistance. All 3 rooms offer free WiFi, 24-hour room service, and LED TVs with satellite channels. Other amenities available to guests include electric kettles, free bottled water, and showers. 
Make use of convenient amenities, which include complimentary wireless Internet access and tour/ticket assistance. Getting to   is a breeze with the area shuttle (surcharge).
Featured amenities include a 24-hour front desk and luggage storage. A roundtrip airport shuttle is provided for a surcharge (available 24 hours), and free self parking is available onsite.
24-hour airport shuttle service is available. Fees may apply. Contact the property in advance to make arrangements.
Make yourself at home in one of the 3 air-conditioned rooms featuring LED televisions. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms have showers and complimentary toiletries. Conveniences include desks and electric kettles, and housekeeping is provided daily.
Enjoy a meal at the restaurant, or stay in and take advantage of the bed & breakfast's 24-hour room service. Breakfast is available daily from 7 AM to 10 AM for a fee.
  
", Borobudur Temple 1 km / 0.6 mi Samudraraksa Museum 1.1 km / 0.7 mi Candi Pawon 1.2 km / 0.8 mi Mendut Buddhist Monastery 3.1 km / 2 mi Candi Mendut 3.2 km / 2 mi Punthuk Setumbu 4.7 km / 3 mi Suroloyo Peak 10.9 km / 6.8 mi Hok An Kiong 11.7 km / 7.3 mi Borobudur Golf Country Club 16.4 km / 10.2 mi Diponegoro Museum 17.9 km / 11.1 mi Kyai Langgeng Flower Garden 18.5 km / 11.5 mi Sleman City Hall 29.8 km / 18.5 mi Mount Merapi 31.9 km / 19.8 mi Yogya Kembali Monument 33.8 km / 21 mi Jogja City Mall 34.3 km / 21.3 mi The nearest major airport is Yogyakarta (JOG-Adisucipto Intl.) - 44.4 km / 27.6 mi
Watu Lumbung Culture Resort,2,"This property located near Parangkusumo Sand Dunes. A restaurant, a garden, and a picnic area are available at this smoke-free campground. Free breakfast (local cuisine), free WiFi in public areas, and free self parking are also provided. Accommodations offer room service. 
Take in the views from a garden and make use of amenities such as complimentary wireless Internet access and a picnic area.
Free self parking is available onsite.
There is no front desk at this property. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation.
All guestrooms feature room service (during limited hours).
Enjoy a meal at the restaurant, or stay in and take advantage of the campground's room service (during limited hours). A complimentary local cuisine breakfast is served daily from 6:00 AM to 1:00 PM.
 Nearby Attractions
 Parangkusumo Sand Dunes 3.8 km / 2.3 mi Depok Beach 5.2 km / 3.2 mi Parangtritis Beach 5.2 km / 3.2 mi History Museum of Antiquities Pleret 21.2 km / 13.1 mi Masjid Jogokariyan 21.4 km / 13.3 mi Lana Gallery 21.5 km / 13.3 mi Batik Plentong 21.8 km / 13.6 mi Alun Alun Kidul 23 km / 14.3 mi Sasono Hinggil 23.2 km / 14.4 mi Kraton Complex 23.6 km / 14.7 mi Water Castle (Tamansari) 23.8 km / 14.8 mi Kampoeng Cyber 23.8 km / 14.8 mi Taman Pintar Science Park 23.8 km / 14.8 mi Gumuling Well 24 km / 14.9 mi Palace of Yogyakarta 24.1 km / 15 mi The nearest major airport is Yogyakarta (JOG-Adisucipto Intl.) - 33.8 km / 21 mi","This property located near Parangkusumo Sand Dunes. A restaurant, a garden, and a picnic area are available at this smoke-free campground. Free breakfast (local cuisine), free WiFi in public areas, and free self parking are also provided. Accommodations offer room service. 
Take in the views from a garden and make use of amenities such as complimentary wireless Internet access and a picnic area.
Free self parking is available onsite.
There is no front desk at this property. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation.
All guestrooms feature room service (during limited hours).
Enjoy a meal at the restaurant, or stay in and take advantage of the campground's room service (during limited hours). A complimentary local cuisine breakfast is served daily from 6:00 AM to 1:00 PM.
  
", Parangkusumo Sand Dunes 3.8 km / 2.3 mi Depok Beach 5.2 km / 3.2 mi Parangtritis Beach 5.2 km / 3.2 mi History Museum of Antiquities Pleret 21.2 km / 13.1 mi Masjid Jogokariyan 21.4 km / 13.3 mi Lana Gallery 21.5 km / 13.3 mi Batik Plentong 21.8 km / 13.6 mi Alun Alun Kidul 23 km / 14.3 mi Sasono Hinggil 23.2 km / 14.4 mi Kraton Complex 23.6 km / 14.7 mi Water Castle (Tamansari) 23.8 km / 14.8 mi Kampoeng Cyber 23.8 km / 14.8 mi Taman Pintar Science Park 23.8 km / 14.8 mi Gumuling Well 24 km / 14.9 mi Palace of Yogyakarta 24.1 km / 15 mi The nearest major airport is Yogyakarta (JOG-Adisucipto Intl.) - 33.8 km / 21 mi
Whiz Hotel Yogyakarta,2,"Whiz Hotel Yogyakarta offers well-equipped conference facilities for business guests to conduct their official events and conventions. Guests can use Internet access facility to stay connected with their friends. Friendly staff of this hotel is at guests' service throughout the stay. Cerme Cave Walisongo is also one of the famous tourist destinations, located within a short drive from this hotel.
All non-smoking rooms at Whiz Hotel Yogyakarta have wooden flooring, and some have soundproofed windows. Each room is simply furnished and features a small writing desk, top quality mattress and linen, AC, multiple TV channels, private key access system, hot water and power rain shower, free WiFi connection, and mineral drinking water.
The hotel serves light breakfast only at the restaurant, while a vending machine sells drinks.
This hotel provides 24-hour reception desk, meeting room, business center, concierge assistance, outdoor gardens for smoking area, luggage storage, currency exchange and laundry service. Free parking is also available.","Whiz Hotel Yogyakarta offers well-equipped conference facilities for business guests to conduct their official events and conventions. Guests can use Internet access facility to stay connected with their friends. Friendly staff of this hotel is at guests' service throughout the stay. Cerme Cave Walisongo is also one of the famous tourist destinations, located within a short drive from this hotel.
All non-smoking rooms at Whiz Hotel Yogyakarta have wooden flooring, and some have soundproofed windows. Each room is simply furnished and features a small writing desk, top quality mattress and linen, AC, multiple TV channels, private key access system, hot water and power rain shower, free WiFi connection, and mineral drinking water.
The hotel serves light breakfast only at the restaurant, while a vending machine sells drinks.
This hotel provides 24-hour reception desk, meeting room, business center, concierge assistance, outdoor gardens for smoking area, luggage storage, currency exchange and laundry service. Free parking is also available.",none
Whiz Prime Hotel Malioboro,3,"Featuring the concept “simplicity with style”, this hotel is an ideal choice for leisure or business trips. 
The guest rooms of Whiz Prime Hotel Malioboro are equipped with the latest LCD televisions, high quality beds with soft cotton bed linens /duvets, premium and healthy mattress by Angler Design featured exclusively for INTIWHIZ, Free WIFI Access, modern minimalist furniture; all of which are supported with personalized services tailored for a completely pleasant Hotel staying experience.
Simple buffet breakfast available daily at the hotel's restaurant.
Internet corner: We keep everyone connected with the availability of broadband internet access and multiple TV channels, which are essential for professionals and business travellers. The hotel also offers two meeting room with medium and large capacities.","Featuring the concept “simplicity with style”, this hotel is an ideal choice for leisure or business trips. 
The guest rooms of Whiz Prime Hotel Malioboro are equipped with the latest LCD televisions, high quality beds with soft cotton bed linens /duvets, premium and healthy mattress by Angler Design featured exclusively for INTIWHIZ, Free WIFI Access, modern minimalist furniture; all of which are supported with personalized services tailored for a completely pleasant Hotel staying experience.
Simple buffet breakfast available daily at the hotel's restaurant.
Internet corner: We keep everyone connected with the availability of broadband internet access and multiple TV channels, which are essential for professionals and business travellers. The hotel also offers two meeting room with medium and large capacities.",none
Wijaya Imperial Hotel,2,"The Wijaya Imperial Hotel is a new and delightful hotel with the concept of beauty,warmth and comfort in a good value. The Wijaya Imperial Hotel is strategically located in the heart of Yogyakarta right in front of JEC (Jogja Expo Center). The location is strategic that allowing anyone to travel anywhere. It only takes 12 minutes to Yogyakarta International Airport, 20 minutes to Malioboro, a famous shopping place in Yogyakarta and 5 minute to the biggest shopping mall in Yogyakarta, Ambarukmo Plaza. 
 Rooms are brightly lit and fitted with a dressing table. Free toiletries, towels and free bottled water are also provided. En suite bathrooms come with hot shower facilities.
Offering room service, the on-site restaurant specialises in Indonesian and Chinese cuisines.
Wijaya Imperial Hotel features modern minimalist-style accommodation with a restaurant and a 24-hour front desk. It features air-conditioned rooms with a flat-screen satellite TV, and provides free Wi-Fi access in public areas.","The Wijaya Imperial Hotel is a new and delightful hotel with the concept of beauty,warmth and comfort in a good value. The Wijaya Imperial Hotel is strategically located in the heart of Yogyakarta right in front of JEC (Jogja Expo Center). The location is strategic that allowing anyone to travel anywhere. It only takes 12 minutes to Yogyakarta International Airport, 20 minutes to Malioboro, a famous shopping place in Yogyakarta and 5 minute to the biggest shopping mall in Yogyakarta, Ambarukmo Plaza. 
 Rooms are brightly lit and fitted with a dressing table. Free toiletries, towels and free bottled water are also provided. En suite bathrooms come with hot shower facilities.
Offering room service, the on-site restaurant specialises in Indonesian and Chinese cuisines.
Wijaya Imperial Hotel features modern minimalist-style accommodation with a restaurant and a 24-hour front desk. It features air-conditioned rooms with a flat-screen satellite TV, and provides free Wi-Fi access in public areas.",none
Wisma Aji Yogyakarta,2,"Renovated in 2013, the Hotel Wisma Aji guarantees guests a pleasant stay whether in Yogyakarta for business or pleasure. With its location just 10 km from the city center and 3 km from the airport, this 2-star hotel attracts numerous travelers each year. A well-kempt environment and its proximity to Plaza Ambarukmo, Museum Affandi, Adisucipto International Airport give to this hotel a special charm.
Simply furnished rooms offer air-conditioning, a wardrobe and a flat-screen TV. Private bathrooms include shower facilities and free toiletries. Select rooms come with a minibar.
The hotel offers a dining area for breakfast to be served. Room service is possible. 
Wisma Aji provides meeting/banqueting facilities, and can assist guests with car rentals services. Airport shuttle can also be arranged at an extra charge. Free public parking is available on site.
<","Renovated in 2013, the Hotel Wisma Aji guarantees guests a pleasant stay whether in Yogyakarta for business or pleasure. With its location just 10 km from the city center and 3 km from the airport, this 2-star hotel attracts numerous travelers each year. A well-kempt environment and its proximity to Plaza Ambarukmo, Museum Affandi, Adisucipto International Airport give to this hotel a special charm.
Simply furnished rooms offer air-conditioning, a wardrobe and a flat-screen TV. Private bathrooms include shower facilities and free toiletries. Select rooms come with a minibar.
The hotel offers a dining area for breakfast to be served. Room service is possible. 
Wisma Aji provides meeting/banqueting facilities, and can assist guests with car rentals services. Airport shuttle can also be arranged at an extra charge. Free public parking is available on site.
<",none
Wisma Ary S,1,"Located to the south of the Sultan's Palace in the central area of Yogyakarta. Hotel ""Wisma Ary's"" is very strategically located for your stay and access to most of the city's attractions. All 17 rooms in the 2-storied red brick building are well-ventilated. You'll find a small fountain in the yard next to a stilted bamboo house where you can unwind on a lazy afternoon. You may also want to pick up a book in English or Japanese from the bookshelf in the lobby donated by previous guests. ""Wisma Ary's"" offers you a warm ethnic interior enhanced by Japanese-style care and attention. Wisma Ary's rooms are safe, clean and carry most affordable rates which explains why so many repeat and long-stay guests frequent Wisma Ary's. In the evening they usually gather in the lobby for a chat enjoying Yogya's pleasant atmosphere.
Unique rooms feature brick walls decorated with interesting pieces of art. A TV and safety deposit box is provided. En suite bathrooms offer a bathtub and hot shower facilities.
European delights can be enjoyed in the restaurant. Alternatively, 24-hour room service is available.
 Sightseeing arrangements can be made at the tour desk. Guests can also do their laundry in the guesthouse.","Located to the south of the Sultan's Palace in the central area of Yogyakarta. Hotel ""Wisma Ary's"" is very strategically located for your stay and access to most of the city's attractions. All 17 rooms in the 2-storied red brick building are well-ventilated. You'll find a small fountain in the yard next to a stilted bamboo house where you can unwind on a lazy afternoon. You may also want to pick up a book in English or Japanese from the bookshelf in the lobby donated by previous guests. ""Wisma Ary's"" offers you a warm ethnic interior enhanced by Japanese-style care and attention. Wisma Ary's rooms are safe, clean and carry most affordable rates which explains why so many repeat and long-stay guests frequent Wisma Ary's. In the evening they usually gather in the lobby for a chat enjoying Yogya's pleasant atmosphere.
Unique rooms feature brick walls decorated with interesting pieces of art. A TV and safety deposit box is provided. En suite bathrooms offer a bathtub and hot shower facilities.
European delights can be enjoyed in the restaurant. Alternatively, 24-hour room service is available.
 Sightseeing arrangements can be made at the tour desk. Guests can also do their laundry in the guesthouse.",none
Wisma Gajah Guest House,1,"Stay at Wisma Gajah Guest House to discover the wonders of Yogyakarta. With modern Java architecture, the hotel can be reached about 20 minutes drive from the nearest airport. 
The rooms at Wisma Gajah Guest House come with air conditioning, cable TV, free Wi-Fi, and private bathroom. 
Taste the local cuisine at the Wisma's restaurant. Western and Chinese food are also served for guests. 
From this accommodation, you'll get easy access to tourism site including Merapi Volcano with 15 minutes drive and Water castle with 15 minutes walk. Wisma Gajah Guest House also have an spacious outdoor pool.","Stay at Wisma Gajah Guest House to discover the wonders of Yogyakarta. With modern Java architecture, the hotel can be reached about 20 minutes drive from the nearest airport. 
The rooms at Wisma Gajah Guest House come with air conditioning, cable TV, free Wi-Fi, and private bathroom. 
Taste the local cuisine at the Wisma's restaurant. Western and Chinese food are also served for guests. 
From this accommodation, you'll get easy access to tourism site including Merapi Volcano with 15 minutes drive and Water castle with 15 minutes walk. Wisma Gajah Guest House also have an spacious outdoor pool.",none
